"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","65.18","63.27","65.20","62.73","7.75M","3.69"
"Nov 29, 2017","62.86","61.60","64.68","61.30","5.76M","2.31"
"Nov 28, 2017","61.44","61.47","61.61","60.63","3.81M","-0.05"
"Nov 27, 2017","61.47","61.18","61.62","60.75","3.70M","0.47"
"Nov 24, 2017","61.18","61.79","61.93","60.70","2.11M","-1.51"
"Nov 22, 2017","62.12","61.22","62.79","60.91","3.25M","1.52"
"Nov 21, 2017","61.19","61.58","61.62","60.93","3.04M","-0.37"
"Nov 20, 2017","61.42","61.78","61.84","61.08","2.86M","-0.84"
"Nov 17, 2017","61.94","62.13","62.22","61.05","3.05M","-0.82"
"Nov 16, 2017","62.45","60.54","62.90","60.29","4.50M","4.00"
"Nov 15, 2017","60.05","59.58","60.44","59.25","2.56M","-0.33"
"Nov 14, 2017","60.25","60.67","60.69","59.17","2.68M","-1.03"
"Nov 13, 2017","60.88","59.97","61.60","59.67","3.43M","1.38"
"Nov 10, 2017","60.05","60.52","60.55","59.47","3.61M","-1.15"
"Nov 09, 2017","60.75","60.99","61.32","60.41","2.53M","-0.90"
"Nov 08, 2017","61.30","60.54","61.34","60.10","2.06M","1.16"
"Nov 07, 2017","60.60","60.81","60.97","60.14","2.49M","-0.03"
"Nov 06, 2017","60.62","60.43","60.87","60.08","2.22M","0.13"
"Nov 03, 2017","60.54","60.20","60.76","59.81","2.64M","0.36"
"Nov 02, 2017","60.32","62.34","62.76","60.09","3.04M","-3.21"
"Nov 01, 2017","62.32","61.81","62.61","61.52","3.39M","1.68"
"Oct 31, 2017","61.29","61.50","61.71","60.89","3.51M","-0.10"
"Oct 30, 2017","61.35","61.94","62.12","60.80","4.64M","-1.35"
"Oct 27, 2017","62.19","58.59","62.41","58.58","9.09M","5.53"
"Oct 26, 2017","58.93","61.18","62.40","58.62","8.24M","-3.65"
"Oct 25, 2017","61.16","59.36","61.49","58.98","7.96M","3.93"
"Oct 24, 2017","58.85","58.70","59.30","58.23","3.84M","0.34"
"Oct 23, 2017","58.65","59.59","59.78","58.57","3.24M","-1.45"
"Oct 20, 2017","59.51","58.90","60.00","58.44","5.17M","1.29"
"Oct 19, 2017","58.75","57.72","58.92","57.61","3.80M","1.70"
"Oct 18, 2017","57.77","56.20","59.04","55.80","7.87M","0.98"
"Oct 17, 2017","57.21","56.84","57.36","56.62","3.41M","0.70"
"Oct 16, 2017","56.81","57.14","57.54","56.65","3.67M","-0.58"
"Oct 13, 2017","57.14","57.86","57.86","56.82","3.73M","-0.92"
"Oct 12, 2017","57.67","57.81","58.18","57.41","3.77M","-0.07"
"Oct 11, 2017","57.71","58.27","58.43","57.56","4.82M","-0.81"
"Oct 10, 2017","58.18","58.53","59.77","57.88","5.88M","-1.76"
"Oct 09, 2017","59.22","61.28","61.50","58.84","6.38M","-5.04"
"Oct 06, 2017","62.36","64.07","64.17","62.03","4.77M","-2.58"
"Oct 05, 2017","64.01","64.00","64.19","63.62","3.07M","0.05"
"Oct 04, 2017","63.98","63.58","64.08","63.47","2.13M","0.52"
"Oct 03, 2017","63.65","63.77","63.87","63.38","2.08M","0.03"
"Oct 02, 2017","63.63","63.37","64.29","63.32","3.00M","0.49"
"Sep 29, 2017","63.32","63.12","64.12","63.00","3.89M","0.40"
"Sep 28, 2017","63.07","62.78","63.42","62.64","2.24M","0.17"
"Sep 27, 2017","62.96","63.11","63.34","62.06","2.24M","-0.14"
"Sep 26, 2017","63.05","62.43","63.17","62.43","2.23M","0.93"
"Sep 25, 2017","62.47","62.17","63.15","62.00","2.96M","0.29"
"Sep 22, 2017","62.29","61.65","62.36","61.39","2.92M","0.92"
"Sep 21, 2017","61.72","61.73","62.27","61.30","3.54M","-0.16"
"Sep 20, 2017","61.82","61.00","63.25","60.35","6.86M","1.34"
"Sep 19, 2017","61.00","62.12","62.24","60.67","7.21M","-1.63"
"Sep 18, 2017","62.01","62.66","62.95","62.00","2.46M","-1.02"
"Sep 15, 2017","62.65","62.30","62.65","61.84","7.85M","0.50"
"Sep 14, 2017","62.34","63.02","63.15","62.27","2.41M","-1.42"
"Sep 13, 2017","63.24","62.66","63.25","62.43","2.74M","0.96"
"Sep 12, 2017","62.64","63.74","63.79","62.42","4.31M","-1.62"
"Sep 11, 2017","63.67","63.40","64.31","63.27","3.41M","1.22"
"Sep 08, 2017","62.90","62.33","63.18","62.06","2.29M","0.90"
"Sep 07, 2017","62.34","62.68","62.91","62.15","2.32M","-0.56"
"Sep 06, 2017","62.69","62.13","62.73","61.86","3.08M","1.52"
"Sep 05, 2017","61.75","61.98","62.20","61.18","2.65M","-0.66"
"Sep 01, 2017","62.16","62.93","63.10","62.12","2.46M","-1.05"
"Aug 31, 2017","62.82","61.74","62.96","61.61","3.12M","2.10"
"Aug 30, 2017","61.53","61.09","61.56","60.91","1.96M","0.24"
"Aug 29, 2017","61.38","60.90","61.46","60.66","2.42M","0.34"
"Aug 28, 2017","61.17","61.06","61.60","60.99","2.20M","0.63"
"Aug 25, 2017","60.79","60.73","61.23","60.67","1.43M","0.46"
"Aug 24, 2017","60.51","61.06","61.45","60.32","2.55M","-0.69"
"Aug 23, 2017","60.93","61.48","61.56","60.93","2.84M","-1.12"
"Aug 22, 2017","61.62","60.52","61.78","60.45","2.92M","2.14"
"Aug 21, 2017","60.33","60.65","60.95","60.02","2.67M","-0.38"
"Aug 18, 2017","60.56","60.53","61.02","60.43","2.38M","-0.79"
"Aug 17, 2017","61.04","61.86","62.24","60.92","2.91M","-1.55"
"Aug 16, 2017","62.00","61.73","62.39","61.48","2.06M","0.44"
"Aug 15, 2017","61.73","61.30","61.87","61.17","2.68M","0.69"
"Aug 14, 2017","61.31","61.04","61.59","60.80","2.65M","0.81"
"Aug 11, 2017","60.82","60.50","61.02","60.31","2.90M","0.86"
"Aug 10, 2017","60.30","61.00","61.36","60.24","4.31M","-1.47"
"Aug 09, 2017","61.20","62.06","62.14","60.71","3.97M","-1.67"
"Aug 08, 2017","62.24","62.16","62.76","61.74","2.98M","-0.13"
"Aug 07, 2017","62.32","62.42","62.42","61.53","2.21M","-0.34"
"Aug 04, 2017","62.53","62.83","62.88","62.38","2.85M","-0.11"
"Aug 03, 2017","62.60","61.89","62.98","61.89","2.97M","1.00"
"Aug 02, 2017","61.98","61.99","62.28","61.22","3.14M","-0.61"
"Aug 01, 2017","62.36","62.72","62.92","62.17","2.68M","-0.45"
"Jul 31, 2017","62.64","62.90","63.37","62.60","3.18M","-0.41"
"Jul 28, 2017","62.90","62.48","63.06","62.01","3.04M","0.91"
"Jul 27, 2017","62.33","63.37","63.38","61.45","3.84M","-1.80"
"Jul 26, 2017","63.47","63.00","65.50","62.82","7.58M","1.45"
"Jul 25, 2017","62.56","62.80","63.27","62.25","3.46M","-0.08"
"Jul 24, 2017","62.61","62.31","62.67","62.24","2.04M","0.18"
"Jul 21, 2017","62.50","62.44","63.00","62.16","2.10M","-0.22"
"Jul 20, 2017","62.64","62.19","62.99","62.03","2.26M","0.95"
"Jul 19, 2017","62.05","62.64","62.98","61.91","3.85M","-0.96"
"Jul 18, 2017","62.65","62.67","62.92","62.31","2.03M","-0.11"
"Jul 17, 2017","62.72","62.14","63.18","62.02","2.15M","0.93"
"Jul 14, 2017","62.14","61.92","62.26","61.70","2.05M","0.68"
"Jul 13, 2017","61.72","61.97","61.97","61.45","2.14M","-0.64"
"Jul 12, 2017","62.12","61.97","62.28","61.76","2.75M","0.91"
"Jul 11, 2017","61.56","61.83","61.84","61.06","2.16M","-0.44"
"Jul 10, 2017","61.83","62.48","62.53","61.35","5.13M","-1.07"
"Jul 07, 2017","62.50","62.77","62.98","62.12","2.97M","-0.05"
"Jul 06, 2017","62.53","63.50","63.60","62.36","2.83M","-1.81"
"Jul 05, 2017","63.68","63.89","64.19","63.39","2.48M","-0.38"
"Jul 03, 2017","63.92","64.15","64.46","63.78","1.77M","0.13"
"Jun 30, 2017","63.84","64.59","64.60","63.67","5.46M","-0.08"
"Jun 29, 2017","63.89","65.01","65.33","63.61","3.69M","-2.02"
"Jun 28, 2017","65.21","64.86","65.50","64.80","2.21M","0.91"
"Jun 27, 2017","64.62","65.23","65.78","64.58","3.48M","-1.37"
"Jun 26, 2017","65.52","65.42","66.17","65.35","2.74M","0.46"
"Jun 23, 2017","65.22","64.96","65.33","64.75","11.88M","0.48"
"Jun 22, 2017","64.91","63.78","66.56","63.65","6.70M","1.47"
"Jun 21, 2017","63.97","63.53","64.22","63.21","3.38M","0.87"
"Jun 20, 2017","63.42","64.00","64.20","63.41","3.30M","-1.26"
"Jun 19, 2017","64.23","63.05","64.62","62.91","3.87M","1.94"
"Jun 16, 2017","63.01","62.80","63.05","61.98","9.30M","-0.13"
"Jun 15, 2017","63.09","63.32","64.07","62.53","4.97M","-0.05"
"Jun 14, 2017","63.12","62.95","63.50","62.67","3.26M","0.78"
"Jun 13, 2017","62.63","62.62","62.92","62.14","4.26M","0.18"
"Jun 12, 2017","62.52","61.32","63.59","61.05","5.17M","1.81"
"Jun 09, 2017","61.41","60.27","61.72","60.17","3.14M","1.74"
"Jun 08, 2017","60.36","60.19","60.70","60.08","2.48M","-0.02"
"Jun 07, 2017","60.37","60.06","60.40","60.03","2.61M","0.20"
"Jun 06, 2017","60.25","61.21","61.21","60.23","3.90M","-1.68"
"Jun 05, 2017","61.28","61.00","61.34","60.55","3.81M","0.97"
"Jun 02, 2017","60.69","60.40","60.83","60.22","3.26M","0.48"
"Jun 01, 2017","60.40","59.92","60.56","59.68","3.40M","1.09"
"May 31, 2017","59.75","59.61","59.77","59.17","3.42M","0.25"
"May 30, 2017","59.60","59.52","59.94","59.20","3.06M","-0.27"
"May 26, 2017","59.76","60.05","60.33","59.57","2.31M","-0.55"
"May 25, 2017","60.09","59.92","60.24","59.83","2.98M","0.38"
"May 24, 2017","59.86","59.97","60.33","59.58","2.82M","-0.48"
"May 23, 2017","60.15","60.23","60.33","59.75","3.60M","-0.27"
"May 22, 2017","60.31","59.97","60.56","59.76","2.99M","0.33"
"May 19, 2017","60.11","59.20","60.20","59.14","5.76M","1.43"
"May 18, 2017","59.26","60.43","60.49","59.21","5.30M","-0.79"
"May 17, 2017","59.73","59.47","60.26","59.44","5.43M","-0.71"
"May 16, 2017","60.16","60.31","60.34","59.58","3.65M","-0.27"
"May 15, 2017","60.32","59.87","60.46","59.71","4.34M","1.16"
"May 12, 2017","59.63","60.68","60.78","59.40","7.36M","-1.70"
"May 11, 2017","60.66","60.80","61.00","60.28","5.00M","-0.59"
"May 10, 2017","61.02","61.83","62.10","60.83","4.90M","-1.71"
"May 09, 2017","62.08","61.61","62.23","61.40","3.94M","0.78"
"May 08, 2017","61.60","61.78","62.02","61.30","3.05M","0.03"
"May 05, 2017","61.58","61.85","61.96","61.18","3.52M","-0.34"
"May 04, 2017","61.79","62.39","63.13","61.70","4.80M","-0.75"
"May 03, 2017","62.26","61.60","62.49","61.23","4.27M","0.91"
"May 02, 2017","61.70","61.06","61.98","60.58","5.15M","1.28"
"May 01, 2017","60.92","61.42","61.68","60.87","3.54M","-0.68"
"Apr 28, 2017","61.34","61.62","61.64","60.84","6.56M","-0.10"
"Apr 27, 2017","61.40","61.22","62.05","61.18","6.47M","0.20"
"Apr 26, 2017","61.28","62.10","62.65","61.00","14.62M","2.12"
"Apr 25, 2017","60.01","58.72","61.17","57.80","36.85M","-10.77"
"Apr 24, 2017","67.25","67.27","67.51","66.97","8.62M","1.19"
"Apr 21, 2017","66.46","67.02","67.15","65.98","2.84M","-0.88"
"Apr 20, 2017","67.05","66.45","67.35","66.10","2.79M","1.04"
"Apr 19, 2017","66.36","66.42","66.51","65.97","2.36M","0.41"
"Apr 18, 2017","66.09","66.30","66.48","65.62","3.62M","-0.87"
"Apr 17, 2017","66.67","66.76","66.96","66.46","3.29M","0.30"
"Apr 13, 2017","66.47","66.68","66.87","66.45","2.33M","-0.11"
"Apr 12, 2017","66.54","66.26","66.69","66.25","3.17M","-0.34"
"Apr 11, 2017","66.77","66.95","67.07","66.50","2.43M","-0.19"
"Apr 10, 2017","66.90","66.57","67.28","66.32","3.95M","0.59"
"Apr 07, 2017","66.51","66.04","66.80","65.88","3.88M","1.09"
"Apr 06, 2017","65.79","65.74","66.08","65.25","4.97M","-0.42"
"Apr 05, 2017","66.07","65.91","66.71","65.70","4.25M","0.27"
"Apr 04, 2017","65.89","65.68","66.31","65.51","3.80M","0.05"
"Apr 03, 2017","65.86","66.06","66.12","65.56","3.56M","-0.08"
"Mar 31, 2017","65.91","66.20","66.20","65.48","6.98M","-0.98"
"Mar 30, 2017","66.56","64.97","66.60","64.82","6.15M","2.34"
"Mar 29, 2017","65.04","64.64","65.34","64.36","4.02M","0.31"
"Mar 28, 2017","64.84","64.27","64.99","64.25","3.38M","0.37"
"Mar 27, 2017","64.60","64.01","64.79","63.89","3.76M","0.76"
"Mar 24, 2017","64.11","64.00","64.35","63.75","3.11M","0.14"
"Mar 23, 2017","64.02","63.91","64.84","63.78","5.49M","0.05"
"Mar 22, 2017","63.99","64.00","64.21","63.46","4.04M","0.23"
"Mar 21, 2017","63.84","64.69","64.80","63.22","5.14M","-0.82"
"Mar 20, 2017","64.37","65.08","65.09","63.84","5.56M","-1.11"
"Mar 17, 2017","65.09","65.19","65.36","64.65","7.08M","0.40"
"Mar 16, 2017","64.83","65.96","65.97","64.45","7.28M","-1.86"
"Mar 15, 2017","66.06","65.80","66.67","65.26","6.94M","-1.17"
"Mar 14, 2017","66.84","67.25","67.55","66.44","3.00M","-0.93"
"Mar 13, 2017","67.47","67.76","68.00","66.86","4.09M","-0.25"
"Mar 10, 2017","67.64","67.44","67.84","66.93","3.76M","1.17"
"Mar 09, 2017","66.86","67.79","67.91","66.26","6.62M","-1.12"
"Mar 08, 2017","67.62","67.44","68.45","67.40","6.49M","0.34"
"Mar 07, 2017","67.39","68.89","69.08","67.24","8.65M","-3.80"
"Mar 06, 2017","70.05","71.27","71.39","70.04","4.62M","-2.14"
"Mar 03, 2017","71.58","72.09","72.11","70.88","2.85M","-0.53"
"Mar 02, 2017","71.96","71.51","72.09","71.23","4.22M","0.35"
"Mar 01, 2017","71.71","71.16","72.10","71.03","4.00M","1.50"
"Feb 28, 2017","70.65","71.77","71.78","70.44","3.97M","-1.53"
"Feb 27, 2017","71.75","71.38","71.85","71.11","2.53M","0.28"
"Feb 24, 2017","71.55","70.97","71.76","70.56","2.83M","0.87"
"Feb 23, 2017","70.93","70.81","71.12","70.30","2.32M","0.28"
"Feb 22, 2017","70.73","71.15","71.25","70.49","2.61M","-0.90"
"Feb 21, 2017","71.37","69.95","71.37","69.86","4.55M","2.00"
"Feb 17, 2017","69.97","68.96","70.00","68.94","2.72M","1.07"
"Feb 16, 2017","69.23","69.66","69.78","68.48","3.14M","-0.33"
"Feb 15, 2017","69.46","69.10","70.94","68.53","6.94M","-0.24"
"Feb 14, 2017","69.63","69.03","69.79","68.57","3.70M","0.48"
"Feb 13, 2017","69.30","68.55","69.43","68.53","3.66M","1.30"
"Feb 10, 2017","68.41","67.52","68.50","67.02","3.44M","1.38"
"Feb 09, 2017","67.48","67.79","67.96","67.15","3.74M","-0.21"
"Feb 08, 2017","67.62","67.65","68.09","67.41","2.38M","-0.18"
"Feb 07, 2017","67.74","67.42","67.76","66.77","2.97M","0.50"
"Feb 06, 2017","67.40","67.06","67.79","66.53","3.82M","0.46"
"Feb 03, 2017","67.09","66.98","67.44","66.71","4.67M","0.60"
"Feb 02, 2017","66.69","68.73","68.83","65.82","8.89M","-3.50"
"Feb 01, 2017","69.11","68.65","69.15","68.01","3.60M","0.33"
"Jan 31, 2017","68.88","67.78","68.89","67.30","4.23M","1.13"
"Jan 30, 2017","68.11","67.54","68.17","67.03","4.81M","0.77"
"Jan 27, 2017","67.59","69.46","69.50","67.13","9.22M","-2.35"
"Jan 26, 2017","69.22","69.35","70.35","68.77","4.70M","-0.57"
"Jan 25, 2017","69.62","71.46","72.23","69.42","7.88M","-2.49"
"Jan 24, 2017","71.40","70.86","71.50","70.06","3.17M","1.12"
"Jan 23, 2017","70.61","71.44","71.47","70.12","3.54M","-1.59"
"Jan 20, 2017","71.75","72.55","72.92","71.63","4.64M","-0.97"
"Jan 19, 2017","72.45","72.44","73.04","72.03","5.39M","-0.30"
"Jan 18, 2017","72.67","73.35","73.42","72.63","2.90M","-0.67"
