"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","98.99","96.43","100.30","96.20","1.78M","3.16"
"Nov 29, 2017","95.96","96.58","97.31","95.06","1.40M","0.14"
"Nov 28, 2017","95.83","98.08","98.24","94.78","1.88M","-2.07"
"Nov 27, 2017","97.86","98.93","99.33","97.43","1.39M","-0.93"
"Nov 24, 2017","98.78","98.71","99.47","98.31","482.83K","-0.22"
"Nov 22, 2017","99.00","99.09","100.26","98.28","1.20M","0.05"
"Nov 21, 2017","98.95","99.36","99.97","96.60","2.89M","0.00"
"Nov 20, 2017","98.95","105.29","106.95","98.72","2.53M","-6.18"
"Nov 17, 2017","105.47","106.06","107.10","105.42","1.03M","-0.95"
"Nov 16, 2017","106.48","105.49","108.25","105.01","1.18M","1.18"
"Nov 15, 2017","105.24","105.13","105.98","104.00","978.92K","0.11"
"Nov 14, 2017","105.12","106.30","107.22","103.56","1.97M","-1.95"
"Nov 13, 2017","107.21","104.30","107.83","103.20","2.02M","2.34"
"Nov 10, 2017","104.76","101.96","105.09","100.60","2.97M","1.72"
"Nov 09, 2017","102.99","104.36","105.31","101.75","1.52M","-1.90"
"Nov 08, 2017","104.98","108.22","109.42","104.91","1.37M","-2.92"
"Nov 07, 2017","108.14","106.03","109.84","106.03","1.89M","2.57"
"Nov 06, 2017","105.43","104.55","106.75","103.69","1.58M","0.33"
"Nov 03, 2017","105.08","106.08","108.04","104.17","1.85M","-1.34"
"Nov 02, 2017","106.51","107.74","107.89","104.06","2.39M","-1.34"
"Nov 01, 2017","107.96","113.42","114.79","106.36","2.87M","-4.67"
"Oct 31, 2017","113.25","117.95","117.95","111.17","2.17M","-0.87"
"Oct 30, 2017","114.24","116.53","117.35","113.44","2.18M","-1.75"
"Oct 27, 2017","116.27","115.53","116.36","114.64","1.81M","0.61"
"Oct 26, 2017","115.56","113.49","116.05","112.81","1.73M","0.88"
"Oct 25, 2017","114.55","113.36","115.41","112.88","1.93M","0.45"
"Oct 24, 2017","114.04","113.11","115.21","112.86","1.77M","0.49"
"Oct 23, 2017","113.48","114.95","114.95","113.20","1.77M","-0.62"
"Oct 20, 2017","114.19","113.74","114.39","112.71","1.57M","-0.07"
"Oct 19, 2017","114.27","113.96","115.49","113.07","1.84M","-0.76"
"Oct 18, 2017","115.14","116.06","116.94","114.78","1.69M","-0.43"
"Oct 17, 2017","115.64","116.60","117.25","115.29","1.80M","-0.82"
"Oct 16, 2017","116.60","114.89","116.67","114.31","1.82M","2.00"
"Oct 13, 2017","114.31","113.47","114.39","112.70","1.33M","1.40"
"Oct 12, 2017","112.73","111.30","112.96","110.85","1.59M","0.99"
"Oct 11, 2017","111.62","114.41","114.85","111.51","1.78M","-2.74"
"Oct 10, 2017","114.77","114.15","115.69","113.70","1.35M","0.68"
"Oct 09, 2017","113.99","114.58","115.45","113.80","835.10K","-0.62"
"Oct 06, 2017","114.70","114.01","116.31","113.04","1.45M","0.99"
"Oct 05, 2017","113.57","113.58","114.44","112.65","1.13M","-0.23"
"Oct 04, 2017","113.83","112.42","114.26","111.55","1.34M","0.91"
"Oct 03, 2017","112.80","115.45","115.51","112.00","1.63M","-2.07"
"Oct 02, 2017","115.19","116.83","118.32","113.56","1.98M","-1.33"
"Sep 29, 2017","116.74","113.26","116.90","113.15","2.29M","3.18"
"Sep 28, 2017","113.14","109.86","115.35","109.54","2.95M","2.57"
"Sep 27, 2017","110.31","109.06","111.11","108.52","1.68M","1.06"
"Sep 26, 2017","109.15","110.16","111.09","108.08","1.92M","-0.49"
"Sep 25, 2017","109.69","110.43","110.82","107.79","3.13M","-1.05"
"Sep 22, 2017","110.85","114.36","115.48","110.65","2.17M","-3.65"
"Sep 21, 2017","115.05","114.53","116.24","112.76","1.80M","0.16"
"Sep 20, 2017","114.87","117.63","118.61","114.63","2.25M","-1.90"
"Sep 19, 2017","117.09","118.38","118.76","116.14","1.45M","-1.11"
"Sep 18, 2017","118.40","118.84","120.97","117.63","1.84M","-0.63"
"Sep 15, 2017","119.15","119.92","120.98","117.24","3.00M","-0.51"
"Sep 14, 2017","119.76","124.25","124.71","119.54","1.96M","-3.10"
"Sep 13, 2017","123.59","123.31","124.88","122.03","1.50M","0.36"
"Sep 12, 2017","123.15","125.07","125.83","120.00","2.22M","-1.44"
"Sep 11, 2017","124.95","131.50","131.93","124.48","3.31M","-3.48"
"Sep 08, 2017","129.46","132.24","132.24","126.00","3.15M","-3.63"
"Sep 07, 2017","134.34","135.85","137.35","132.27","1.42M","-1.12"
"Sep 06, 2017","135.86","136.56","137.40","133.94","903.27K","0.38"
"Sep 05, 2017","135.34","137.20","138.92","133.86","1.14M","-1.95"
"Sep 01, 2017","138.03","137.40","139.66","135.45","1.32M","0.45"
"Aug 31, 2017","137.41","140.00","140.11","131.22","3.81M","-0.62"
"Aug 30, 2017","138.27","125.87","138.32","125.59","2.76M","10.64"
"Aug 29, 2017","124.97","122.62","127.63","122.01","1.13M","1.16"
"Aug 28, 2017","123.54","121.65","123.77","120.00","1.05M","1.46"
"Aug 25, 2017","121.76","124.38","124.41","121.41","712.09K","-1.66"
"Aug 24, 2017","123.82","124.15","124.41","122.47","703.81K","0.14"
"Aug 23, 2017","123.65","123.23","124.53","121.83","655.01K","-0.17"
"Aug 22, 2017","123.86","121.10","124.00","120.45","800.96K","2.46"
"Aug 21, 2017","120.89","121.37","121.37","118.69","989.66K","-0.25"
"Aug 18, 2017","121.19","121.60","122.47","121.00","958.48K","-0.45"
"Aug 17, 2017","121.74","123.37","125.36","121.63","1.01M","-2.09"
"Aug 16, 2017","124.34","127.38","127.43","122.81","1.28M","-1.61"
"Aug 15, 2017","126.37","126.26","127.17","126.04","590.16K","0.07"
"Aug 14, 2017","126.28","125.00","126.87","124.54","682.53K","1.76"
"Aug 11, 2017","124.10","122.74","125.08","122.27","898.03K","1.62"
"Aug 10, 2017","122.12","129.04","129.27","122.01","1.38M","-6.12"
"Aug 09, 2017","130.08","130.21","131.33","128.72","728.36K","-0.47"
"Aug 08, 2017","130.70","131.62","132.75","130.08","650.09K","-0.98"
"Aug 07, 2017","132.00","128.87","133.11","128.24","1.04M","2.56"
"Aug 04, 2017","128.70","125.88","128.83","123.85","872.49K","2.16"
"Aug 03, 2017","125.98","125.65","126.78","124.29","1.27M","0.21"
"Aug 02, 2017","125.71","128.50","128.55","124.09","1.48M","-2.37"
"Aug 01, 2017","128.76","132.92","134.94","127.50","1.47M","-3.40"
"Jul 31, 2017","133.29","135.31","136.41","132.92","1.22M","-1.80"
"Jul 28, 2017","135.74","132.60","136.81","132.18","989.76K","2.28"
"Jul 27, 2017","132.72","138.73","139.59","131.82","1.51M","-3.26"
"Jul 26, 2017","137.19","133.52","137.90","132.70","893.61K","2.72"
"Jul 25, 2017","133.56","134.13","136.97","132.88","1.83M","-3.41"
"Jul 24, 2017","138.27","134.24","138.45","133.73","1.21M","3.02"
"Jul 21, 2017","134.22","133.02","135.43","133.02","755.99K","0.32"
"Jul 20, 2017","133.79","130.52","134.40","129.54","1.13M","2.56"
"Jul 19, 2017","130.45","131.71","133.23","129.85","1.17M","-0.31"
"Jul 18, 2017","130.85","130.31","131.08","128.72","993.32K","0.18"
"Jul 17, 2017","130.62","133.34","134.45","130.03","1.38M","-2.72"
"Jul 14, 2017","134.27","134.06","135.30","133.27","737.51K","0.64"
"Jul 13, 2017","133.42","133.32","134.46","131.03","725.81K","0.15"
"Jul 12, 2017","133.22","133.24","133.94","131.33","796.71K","0.99"
"Jul 11, 2017","131.92","128.60","132.86","128.60","1.07M","1.82"
"Jul 10, 2017","129.56","130.41","130.41","127.01","915.96K","-0.98"
"Jul 07, 2017","130.84","127.58","131.43","127.35","1.03M","2.85"
"Jul 06, 2017","127.22","127.05","128.84","124.75","1.26M","-0.87"
"Jul 05, 2017","128.34","126.00","128.80","125.43","1.19M","1.96"
"Jul 03, 2017","125.87","126.20","128.00","124.96","596.98K","-0.03"
"Jun 30, 2017","125.91","129.74","129.83","125.87","1.37M","-2.23"
"Jun 29, 2017","128.78","133.58","133.58","127.48","1.39M","-4.13"
"Jun 28, 2017","134.33","130.41","135.28","129.61","1.26M","3.08"
"Jun 27, 2017","130.31","134.49","135.22","130.11","1.19M","-3.24"
"Jun 26, 2017","134.67","136.97","137.30","133.43","1.39M","-1.18"
"Jun 23, 2017","136.28","135.34","136.86","133.83","1.79M","0.48"
"Jun 22, 2017","135.63","134.86","137.29","134.20","1.73M","1.22"
"Jun 21, 2017","133.99","124.49","134.45","124.30","2.89M","7.55"
"Jun 20, 2017","124.58","122.98","126.79","122.19","2.03M","1.88"
"Jun 19, 2017","122.28","118.38","122.64","118.38","1.43M","3.58"
"Jun 16, 2017","118.05","120.00","120.74","117.05","3.66M","-1.93"
"Jun 15, 2017","120.37","119.00","120.45","115.79","1.82M","0.23"
"Jun 14, 2017","120.09","118.59","121.50","118.00","1.53M","1.32"
"Jun 13, 2017","118.52","115.82","119.09","115.66","1.20M","1.79"
"Jun 12, 2017","116.44","117.80","120.22","115.20","1.80M","-2.18"
"Jun 09, 2017","119.04","119.10","122.21","118.24","1.41M","-0.59"
"Jun 08, 2017","119.75","119.88","120.24","116.25","2.03M","0.50"
"Jun 07, 2017","119.15","121.53","123.36","118.34","2.21M","-2.55"
"Jun 06, 2017","122.27","124.15","124.28","121.46","2.06M","-1.42"
"Jun 05, 2017","124.03","132.50","132.78","121.23","3.82M","-5.68"
"Jun 02, 2017","131.50","131.56","132.07","128.87","1.42M","1.72"
"Jun 01, 2017","129.28","130.00","130.96","127.85","1.91M","-0.04"
"May 31, 2017","129.33","131.80","133.82","128.82","2.41M","-0.89"
"May 30, 2017","130.49","133.80","134.13","129.65","1.72M","-2.89"
"May 26, 2017","134.38","138.46","139.49","132.65","2.37M","-2.91"
"May 25, 2017","138.41","138.99","139.98","138.21","1.77M","0.22"
"May 24, 2017","138.10","136.40","138.75","135.01","1.30M","1.42"
"May 23, 2017","136.16","134.17","136.30","133.51","1.20M","1.29"
"May 22, 2017","134.43","131.20","134.89","130.22","2.03M","2.28"
"May 19, 2017","131.43","129.03","133.80","129.00","3.86M","2.04"
"May 18, 2017","128.80","128.16","131.75","125.39","5.67M","6.90"
"May 17, 2017","120.49","116.98","121.68","116.08","3.73M","2.32"
"May 16, 2017","117.76","117.49","120.87","117.10","2.68M","0.35"
"May 15, 2017","117.35","115.00","117.49","114.03","1.71M","1.88"
"May 12, 2017","115.19","115.99","117.86","114.33","2.73M","-1.07"
"May 11, 2017","116.43","117.87","118.41","116.21","1.36M","-1.51"
"May 10, 2017","118.22","119.67","119.92","118.08","1.23M","-1.26"
"May 09, 2017","119.73","117.47","119.92","117.04","1.20M","1.65"
"May 08, 2017","117.79","121.72","121.80","116.44","2.58M","-3.77"
"May 05, 2017","122.41","124.14","124.80","120.50","2.01M","-2.07"
"May 04, 2017","125.00","126.23","127.80","123.33","1.40M","1.45"
"May 03, 2017","123.21","123.43","124.54","122.81","1.47M","-0.40"
"May 02, 2017","123.71","123.98","124.44","121.52","1.34M","-0.23"
"May 01, 2017","124.00","124.78","125.59","123.21","1.15M","-0.23"
"Apr 28, 2017","124.28","124.26","124.80","123.02","977.63K","0.09"
"Apr 27, 2017","124.17","123.00","125.36","122.55","1.04M","0.89"
"Apr 26, 2017","123.08","124.68","125.47","122.32","1.15M","-1.05"
"Apr 25, 2017","124.39","124.66","124.91","124.02","1.18M","0.39"
"Apr 24, 2017","123.91","124.06","124.74","123.50","1.16M","0.73"
"Apr 21, 2017","123.01","123.50","125.35","122.51","1.82M","-0.08"
"Apr 20, 2017","123.11","125.28","125.49","123.05","2.04M","-1.15"
"Apr 19, 2017","124.54","125.90","126.17","124.05","1.94M","-1.08"
"Apr 18, 2017","125.90","125.11","128.41","124.15","2.59M","-0.13"
"Apr 17, 2017","126.07","124.97","127.43","124.05","6.92M","-10.49"
"Apr 13, 2017","140.84","139.66","142.45","138.01","2.19M","1.86"
"Apr 12, 2017","138.27","136.48","141.40","134.96","1.58M","1.62"
"Apr 11, 2017","136.07","137.11","137.69","134.16","1.30M","-0.59"
"Apr 10, 2017","136.88","140.18","141.24","136.02","1.65M","-2.31"
"Apr 07, 2017","140.11","139.48","140.63","136.55","2.21M","3.40"
"Apr 06, 2017","135.50","137.84","139.37","134.23","1.60M","-2.12"
"Apr 05, 2017","138.43","141.55","144.32","137.51","1.75M","-2.20"
"Apr 04, 2017","141.55","138.01","143.05","137.81","1.74M","2.19"
"Apr 03, 2017","138.52","135.00","141.86","134.13","3.46M","3.63"
"Mar 31, 2017","133.67","137.80","138.73","133.25","2.55M","-2.98"
"Mar 30, 2017","137.77","140.10","140.94","137.69","1.11M","-1.08"
"Mar 29, 2017","139.28","139.50","139.95","138.35","1.36M","-0.14"
"Mar 28, 2017","139.48","139.46","141.34","138.38","1.85M","-0.29"
"Mar 27, 2017","139.89","139.15","140.36","137.53","1.04M","0.18"
"Mar 24, 2017","139.64","138.97","140.57","138.01","1.55M","0.48"
"Mar 23, 2017","138.97","141.13","141.27","138.71","1.89M","-1.64"
"Mar 22, 2017","141.28","141.75","143.58","140.01","3.86M","0.39"
"Mar 21, 2017","140.73","148.36","149.00","140.47","2.24M","-5.25"
"Mar 20, 2017","148.52","147.61","148.93","146.51","1.75M","0.38"
"Mar 17, 2017","147.96","148.01","149.27","146.79","4.27M","-0.32"
"Mar 16, 2017","148.44","151.69","151.91","146.98","3.68M","-2.76"
"Mar 15, 2017","152.66","151.35","153.15","147.90","1.98M","1.13"
"Mar 14, 2017","150.96","149.99","151.98","148.83","1.70M","-0.05"
"Mar 13, 2017","151.03","149.24","151.63","145.29","4.16M","1.20"
"Mar 10, 2017","149.24","138.81","150.42","138.54","5.11M","8.13"
"Mar 09, 2017","138.02","135.43","138.34","134.23","1.78M","1.49"
"Mar 08, 2017","136.00","133.39","137.88","133.06","2.36M","1.96"
"Mar 07, 2017","133.39","133.13","134.85","131.48","1.91M","-0.74"
"Mar 06, 2017","134.38","136.95","136.98","133.14","1.92M","-1.85"
"Mar 03, 2017","136.91","133.19","137.76","132.65","2.86M","3.09"
"Mar 02, 2017","132.80","134.70","135.79","132.12","1.96M","-0.32"
"Mar 01, 2017","133.22","133.90","135.48","131.91","3.00M","0.09"
"Feb 28, 2017","133.10","133.59","134.05","131.24","3.87M","-0.69"
"Feb 27, 2017","134.02","131.88","134.97","130.24","33.19M","2.14"
"Feb 24, 2017","131.21","128.27","131.89","127.56","9.23M","7.59"
"Feb 23, 2017","121.95","121.40","122.14","118.79","1.57M","0.49"
"Feb 22, 2017","121.36","121.70","122.90","121.25","854.93K","-0.82"
"Feb 21, 2017","122.36","121.09","122.67","119.77","1.26M","1.55"
"Feb 17, 2017","120.49","120.18","120.85","119.16","941.39K","0.26"
"Feb 16, 2017","120.18","121.39","122.23","118.53","990.70K","-0.63"
"Feb 15, 2017","120.94","122.39","122.61","119.01","1.61M","-1.93"
"Feb 14, 2017","123.32","119.94","125.49","119.62","1.87M","1.79"
"Feb 13, 2017","121.15","122.27","122.27","120.26","1.17M","-0.45"
"Feb 10, 2017","121.70","123.01","123.10","121.26","1.08M","-1.02"
"Feb 09, 2017","122.96","121.92","124.19","121.68","894.04K","0.19"
"Feb 08, 2017","122.73","117.32","123.59","117.18","2.18M","3.85"
"Feb 07, 2017","118.18","120.09","120.43","117.25","1.67M","-1.25"
"Feb 06, 2017","119.68","120.28","121.31","118.81","1.11M","-0.55"
"Feb 03, 2017","120.34","121.76","122.46","119.62","868.90K","-0.48"
"Feb 02, 2017","120.92","123.03","123.70","119.23","1.64M","-2.70"
"Feb 01, 2017","124.27","121.12","124.65","119.86","1.42M","2.52"
"Jan 31, 2017","121.21","117.95","121.31","117.10","1.47M","2.52"
"Jan 30, 2017","118.23","121.83","122.24","117.82","1.35M","-2.87"
"Jan 27, 2017","121.72","121.44","123.53","120.62","804.62K","0.90"
"Jan 26, 2017","120.64","120.51","124.87","119.02","2.44M","-0.22"
"Jan 25, 2017","120.91","119.13","121.35","118.17","1.42M","2.21"
"Jan 24, 2017","118.30","117.55","118.57","115.56","1.32M","0.75"
"Jan 23, 2017","117.42","118.27","119.26","116.68","1.75M","0.17"
"Jan 20, 2017","117.22","118.32","122.68","117.08","1.91M","-0.26"
"Jan 19, 2017","117.53","115.50","117.62","113.00","1.16M","2.12"
"Jan 18, 2017","115.09","114.51","115.24","113.12","1.13M","1.28"
"Jan 17, 2017","113.64","115.70","116.75","113.24","1.37M","-3.49"
"Jan 13, 2017","117.75","117.97","119.80","116.72","1.10M","0.17"
"Jan 12, 2017","117.55","114.43","118.25","112.88","1.22M","1.96"
"Jan 11, 2017","115.29","118.80","119.93","113.77","2.09M","-3.36"
"Jan 10, 2017","119.30","119.09","121.18","117.80","2.01M","0.65"
"Jan 09, 2017","118.53","113.55","119.89","112.83","3.01M","9.44"
"Jan 06, 2017","108.31","105.42","109.30","104.92","1.82M","3.34"
"Jan 05, 2017","104.81","102.82","104.99","102.23","940.89K","1.92"
"Jan 04, 2017","102.84","103.10","104.63","102.28","1.44M","0.51"
"Jan 03, 2017","102.32","101.14","103.19","100.41","1.43M","2.04"
"Dec 30, 2016","100.27","101.93","102.35","99.25","953.79K","-1.66"
"Dec 29, 2016","101.96","100.88","102.17","100.72","726.33K","0.85"
"Dec 28, 2016","101.10","102.35","103.22","100.91","731.34K","-1.39"
"Dec 27, 2016","102.53","103.10","105.28","102.22","883.79K","-0.40"
"Dec 23, 2016","102.94","100.84","103.16","99.95","981.99K","1.45"
"Dec 22, 2016","101.47","100.64","101.52","98.73","779.81K","1.71"
"Dec 21, 2016","99.76","101.84","102.39","99.30","1.02M","-2.40"
"Dec 20, 2016","102.21","101.31","102.62","101.01","1.08M","1.41"
"Dec 19, 2016","100.79","102.88","103.85","100.28","1.52M","-2.15"
"Dec 16, 2016","103.00","104.85","107.20","102.43","2.84M","-1.51"
"Dec 15, 2016","104.58","103.14","105.39","101.31","1.13M","2.11"
"Dec 14, 2016","102.42","101.50","103.35","101.00","1.03M","0.87"
"Dec 13, 2016","101.54","101.23","102.69","100.55","1.41M","0.67"
"Dec 12, 2016","100.86","100.12","101.15","99.50","1.04M","0.23"
"Dec 09, 2016","100.63","103.85","105.48","100.02","1.08M","-2.19"
"Dec 08, 2016","102.88","101.43","103.17","98.56","1.15M","0.90"
"Dec 07, 2016","101.96","104.76","106.53","99.72","1.95M","-4.90"
"Dec 06, 2016","107.21","104.37","107.47","104.15","1.29M","2.34"
"Dec 05, 2016","104.76","102.66","105.89","102.16","1.79M","2.69"
"Dec 02, 2016","102.02","100.22","104.23","98.49","1.11M","2.09"
"Dec 01, 2016","99.93","102.53","103.31","99.56","1.00M","-2.31"
"Nov 30, 2016","102.29","105.33","106.43","101.90","1.04M","-2.65"
"Nov 29, 2016","105.07","105.44","106.50","103.41","803.13K","-0.10"
"Nov 28, 2016","105.17","107.13","107.70","104.80","950.79K","-2.38"
"Nov 25, 2016","107.73","107.51","108.61","105.95","783.72K","0.87"
"Nov 23, 2016","106.80","104.88","107.33","103.90","936.47K","0.00"
"Nov 22, 2016","106.80","107.91","108.34","104.48","1.24M","-1.20"
"Nov 21, 2016","108.10","103.66","109.03","103.00","1.47M","4.31"
"Nov 18, 2016","103.63","105.30","105.92","103.37","1.10M","-1.82"
"Nov 17, 2016","105.55","106.90","108.20","102.15","2.87M","4.77"
"Nov 16, 2016","100.74","102.71","103.99","100.61","742.15K","-2.35"
"Nov 15, 2016","103.16","104.27","105.02","101.58","1.05M","-1.65"
"Nov 14, 2016","104.89","104.88","107.09","101.64","1.87M","0.36"
"Nov 11, 2016","104.51","103.88","105.73","102.29","2.03M","-0.19"
"Nov 10, 2016","104.71","105.00","107.99","101.65","2.62M","0.56"
"Nov 09, 2016","104.13","95.68","109.95","95.03","4.72M","12.99"
"Nov 08, 2016","92.16","92.16","93.98","90.38","1.28M","0.01"
"Nov 07, 2016","92.15","89.46","92.83","88.73","2.39M","5.23"
"Nov 04, 2016","87.57","84.30","89.18","83.01","1.38M","5.15"
"Nov 03, 2016","83.28","87.53","87.89","83.09","1.22M","-4.48"
"Nov 02, 2016","87.19","90.00","90.09","87.09","1.58M","-3.15"
"Nov 01, 2016","90.03","90.00","91.33","86.97","2.59M","3.52"
"Oct 31, 2016","86.97","87.52","87.80","85.92","958.13K","-0.18"
"Oct 28, 2016","87.13","86.05","88.34","84.42","993.88K","0.14"
"Oct 27, 2016","87.01","88.10","90.91","86.68","1.06M","-0.28"
"Oct 26, 2016","87.25","87.50","89.25","86.70","800.34K","0.06"
"Oct 25, 2016","87.20","87.86","88.35","86.60","764.54K","-1.11"
"Oct 24, 2016","88.18","87.99","88.52","87.01","994.86K","0.52"
"Oct 21, 2016","87.72","88.09","88.64","86.15","792.92K","-0.87"
"Oct 20, 2016","88.49","88.07","90.11","87.10","893.13K","0.60"
"Oct 19, 2016","87.96","88.55","88.55","87.16","815.10K","-0.92"
"Oct 18, 2016","88.78","87.63","89.79","87.45","1.07M","2.40"
"Oct 17, 2016","86.70","86.77","87.89","84.02","1.23M","-0.46"
"Oct 14, 2016","87.10","89.83","90.78","86.99","1.30M","-2.71"
"Oct 13, 2016","89.53","88.99","90.25","88.42","1.53M","-0.49"
"Oct 12, 2016","89.97","92.46","93.34","89.77","1.41M","-2.32"
"Oct 11, 2016","92.11","95.41","96.34","89.80","1.94M","-4.00"
"Oct 10, 2016","95.95","98.69","99.48","95.94","1.53M","-1.92"
"Oct 07, 2016","97.83","96.00","98.08","95.00","2.86M","3.22"
"Oct 06, 2016","94.78","94.80","95.10","92.16","1.86M","-0.95"
"Oct 05, 2016","95.69","94.45","96.38","94.26","1.08M","1.61"
"Oct 04, 2016","94.17","95.80","96.18","93.33","1.15M","-1.43"
